epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,29.055,1.3366,0.9313,0.99952,0.25585,0.00998062,0.00332687,0.00998062,0.00332687,0.00998062,0.00332687,0.00998062,0.00332687
2,54.2097,0.26763,0.9671,0.99976,0.10087,0.019585,0.00652833,0.019585,0.00652833,0.019585,0.00652833,0.019585,0.00652833
3,76.5953,0.16549,0.97315,0.99976,0.0772,0.0287934,0.0095978,0.0287934,0.0095978,0.0287934,0.0095978,0.0287934,0.0095978
4,98.5035,0.16285,0.97388,1,0.06835,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,120.483,0.12348,0.9775,1,0.06605,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,142.728,0.10623,0.98694,0.99952,0.04075,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,165.13,0.09435,0.98839,1,0.03544,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,187.308,0.08284,0.99032,1,0.0338,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,209.421,0.07353,0.99274,1,0.0198,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,231.709,0.06937,0.98936,1,0.03042,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,254.322,0.06513,0.99153,1,0.02476,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,276.948,0.06495,0.9925,1,0.02105,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,299.837,0.0544,0.99371,1,0.0178,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,322.858,0.04742,0.99444,1,0.01759,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,346.338,0.04896,0.99129,1,0.02277,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,369.81,0.04047,0.99153,1,0.02232,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,393.435,0.04265,0.99516,1,0.0143,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,416.712,0.04077,0.99444,0.99976,0.01977,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,440.033,0.03663,0.9954,1,0.01301,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,463.717,0.03348,0.99613,1,0.01389,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,487.637,0.03307,0.99613,1,0.01177,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,511.359,0.03289,0.99661,1,0.01056,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,535.279,0.03208,0.99492,1,0.01156,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,558.622,0.02966,0.99734,1,0.00707,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,582.186,0.02726,0.99734,1,0.00795,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,605.714,0.02641,0.99831,1,0.00525,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,629.048,0.02544,0.99613,1,0.01022,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,652.705,0.02476,0.99734,1,0.00793,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,676.192,0.02157,0.99831,1,0.00559,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,700.483,0.01967,0.99637,1,0.01004,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,724.414,0.01801,0.99806,1,0.0076,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,748.294,0.01305,0.9971,1,0.00855,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,772.066,0.01556,0.99782,1,0.00647,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,795.851,0.01598,0.99734,1,0.00781,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,820.085,0.01517,0.99879,1,0.0042,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,844.476,0.01341,0.99927,1,0.00262,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,868.482,0.01234,0.99831,1,0.00346,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,892.37,0.00898,0.99927,1,0.00271,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,916.196,0.01255,0.99952,1,0.00232,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,939.474,0.00941,0.99976,1,0.00199,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,982.026,0.01008,0.99976,1,0.00222,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,1005.86,0.0112,0.99952,1,0.00259,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,1029.48,0.00869,0.99927,1,0.00265,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,1053.15,0.00733,0.99976,1,0.00235,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,1076.93,0.00804,0.99903,1,0.00245,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,1100.64,0.00899,0.99927,1,0.0022,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,1124.16,0.00733,0.99927,1,0.00206,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,1147.66,0.00753,0.99952,1,0.00209,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,1171.41,0.00578,0.99952,1,0.00213,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,1195.31,0.00489,0.99952,1,0.00216,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
